team,Matches,TotalShots,TotalxG,TotalGoals,XgPerShot,xGPerformance
Argentina,110,110,20.988442916,23,0.19080402650909092,1.0958411775495047
Australia,26,26,1.5781715056999999,3,0.06069890406538461,1.9009340804625328
Belgium,35,35,3.6944930278,1,0.10555694365142858,0.270673132274249
Brazil,99,99,13.6365929812,10,0.13774336344646465,0.7333209998851205
Cameroon,28,28,3.0667434502,4,0.10952655179285715,1.304315168501994
Canada,35,35,3.928625529,1,0.11224644368571429,0.2545419492436435
Costa Rica,11,11,1.2341124509999999,2,0.11219204099999999,1.6205978623580066
Croatia,87,87,13.1697023989,15,0.15137588964252874,1.1389779013725378
Denmark,35,35,3.192257232,1,0.09120734948571428,0.31325796366776
Ecuador,30,30,3.8067283904,4,0.12689094634666667,1.0507710531929209
England,63,63,8.735856199,13,0.13866438411111112,1.4881197336430652
France,106,106,14.955858183,18,0.1410930017264151,1.2035417680317542
Germany,68,68,8.2310779317,6,0.12104526370147059,0.7289446230234871
Ghana,25,25,3.3532532787,5,0.134130131148,1.4910892749319598
Iran,33,33,3.8304064883,4,0.11607292388787879,1.0442755911723793
Japan,48,48,7.383570514,6,0.15382438570833332,0.8126149792466112
Mexico,41,41,3.057649911,2,0.07457682709756097,0.654097119753616
Morocco,66,66,8.678369942,9,0.13149045366666667,1.037061114028273
Netherlands,48,48,8.91128704,13,0.18565181333333333,1.4588240667871024
Poland,31,31,4.663221082,3,0.15042648651612903,0.6433321404339971
Portugal,66,66,7.3127104283,12,0.1107986428530303,1.6409784193778973
Qatar,20,20,1.4079916985,1,0.07039958492500001,0.7102314602176611
Saudi Arabia,30,30,3.201549268,3,0.10671830893333333,0.9370463325320284
Senegal,50,50,4.2747284715,5,0.08549456942999999,1.169664935056215
Serbia,32,32,3.090397962,5,0.0965749363125,1.617914605652979
South Korea,48,48,3.6045950894,5,0.07509573102916667,1.3871183519900625
Spain,51,51,7.1046272574,9,0.1393064168117647,1.2667800398150133
Switzerland,37,37,6.090516355,5,0.16460855013513515,0.8209484563480824
Tunisia,32,32,2.410452449,1,0.07532663903125,0.41485987430071886
United States,46,46,3.9385379416,3,0.08562039003478261,0.7617039735260932
Uruguay,33,33,3.2705338566,2,0.09910708656363637,0.6115209588685229
Wales,24,24,2.218980701,1,0.09245752920833333,0.45065736693849684
